date_date,service,gare_depart,gare_arrivee,duree_moyenne,average_total_dept,average_total_late_dept,average_total_late_arrival,nb_train_prevu,nb_annulation,nb_train_depart_retard,retard_moyen_dept,retard_moyen_tous_dept,nb_train_retard_arrivee,retard_moyen_arrival,retard_moyen_tous_arrival,nb_train_retard_sup_15,avg_retard_trains,nb_train_retard_sup_30,nb_train_retard_sup_60,prob_percent_cause_ext,prob_percent_infra,prob_percent_gestion_trafic,prob_percent_materiel_roulant,prob_percent_gestion_gare,prob_percent_voyageurs
2022-12-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,281,22,73,19.73,5.6,65,28.72,7.67,34,46,20,9,14.29,4.76,20.63,30.16,22.22,7.94
2023-10-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,286,0,52,18.99,3.47,77,23.95,7.92,34,41.79,14,7,8.11,37.84,16.22,13.51,10.81,13.51
2020-04-01,National,PARIS EST,METZ,83,123.1,2.28,2.91,46,23,21,0.62,0.52,0,0,-1.13,0,0,0,0,0,0,0,0,0,0
2020-11-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,63,16,20,0.43,0.06,4,16.11,1.67,2,26.48,0,0,25,25,50,0,0,0
2020-06-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,175,16,147,1.59,1.45,7,12.73,0.21,3,21.87,0,0,14.29,28.57,0,42.86,14.29,0
2021-04-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,225,97,14,8.58,1.01,9,28.72,2.16,6,38.15,4,1,25,25,12.5,25,0,12.5
2019-12-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,137,22,97,1.88,1.55,11,12.6,1.29,3,28.88,1,0,40,10,10,20,20,0
2021-03-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,230,9,15,12.69,0.93,11,23.83,1.44,6,33.72,3,0,18.18,27.27,18.18,27.27,0,9.09
2021-05-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,229,24,14,8.58,0.64,11,19.02,1.01,4,33.63,1,1,9.09,18.18,0,9.09,27.27,36.36
2020-12-01,National,PARIS EST,METZ,86,123.1,2.28,2.91,240,16,77,6.04,1.89,14,40.62,2.78,9,59.09,3,3,28.57,42.86,7.14,14.29,7.14,0
2023-03-01,National,PARIS EST,METZ,90,123.1,2.28,2.91,287,32,34,11.83,1.59,16,19.79,0.29,6,37.46,1,1,6.25,12.5,12.5,37.5,6.25,25
2020-07-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,240,8,208,1.89,1.67,17,19.03,0.82,8,29.51,4,0,25,25,25,25,0,0
2022-04-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,275,9,45,8.64,1.46,17,22.29,1.45,6,43.54,4,2,6.25,0,25,43.75,6.25,18.75
2021-02-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,199,0,26,11.61,1.46,18,28.96,3.44,9,46.17,4,2,27.78,16.67,11.11,27.78,11.11,5.56
2021-09-01,National,PARIS EST,METZ,88,123.1,2.28,2.91,262,0,25,9.59,0.83,18,14.47,1.36,6,25.56,2,0,0,18.75,31.25,6.25,18.75,25
2022-09-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,265,6,28,11.19,1.24,18,21.03,1.87,9,34.3,3,1,0,5.88,23.53,47.06,5.88,17.65
2023-02-01,National,PARIS EST,METZ,89,123.1,2.28,2.91,238,6,31,10.93,1.51,18,22.7,0.07,12,28.58,3,1,11.11,16.67,22.22,16.67,33.33,0
2019-04-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,314,5,77,23.68,5.88,19,33.92,1.5,11,1.5,7,5,5.56,38.89,22.22,27.78,5.56,0
2020-05-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,113,23,85,3.26,3.07,19,29.86,7.05,7,67.07,5,2,13.33,20,26.67,26.67,6.67,6.67
2020-09-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,257,0,243,1.75,1.36,19,19.54,1.35,10,30.29,4,1,21.05,10.53,10.53,36.84,21.05,0
2021-08-01,National,PARIS EST,METZ,86,123.1,2.28,2.91,243,0,38,8,1.35,20,19.5,1.9,11,28.54,3,0,15,30,15,15,5,20
2022-03-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,284,7,42,11.18,1.75,20,26.24,1.98,12,36.67,5,1,10,10,15,35,10,20
2018-10-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,298,2,42,9.28,1.23,21,19.44,1.2,8,1.2,2,2,23.53,11.76,23.53,23.53,17.65,0
2022-01-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,258,3,26,12.08,1.16,21,23.72,2.03,9,43.76,2,2,15.79,10.53,10.53,47.37,10.53,5.26
2023-05-01,National,PARIS EST,METZ,86,123.1,2.28,2.91,261,0,37,11.38,1.63,21,22.2,1.43,8,43.05,4,2,15,0,30,30,15,10
2022-02-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,239,0,32,13.86,1.9,22,24.59,2.2,11,40.81,7,1,10,15,20,35,5,15
2020-08-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,255,2,231,1.32,1.19,23,12.22,0.64,6,24.11,1,0,9.09,36.36,22.73,4.55,27.27,0
2018-01-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,310,0,41,6.41,0.82,24,11.89,0.76,7,0.76,1,0,26.67,6.67,13.33,40,13.33,0
2021-06-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,222,0,30,13.24,1.87,24,25.26,3.02,11,42.52,6,1,4.17,29.17,25,16.67,16.67,8.33
2021-07-01,National,PARIS EST,METZ,86,123.1,2.28,2.91,239,0,34,8.95,1.34,24,16.11,1.91,7,33.53,2,1,43.48,4.35,17.39,17.39,13.04,4.35
2020-01-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,271,12,210,6.98,5.62,25,17.07,1.72,9,33.14,5,1,8.7,26.09,39.13,26.09,0,0
2020-10-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,168,1,159,3.59,3.41,25,30.83,4.85,10,63.63,5,3,62.5,16.67,12.5,4.17,4.17,0
2021-11-01,National,PARIS EST,METZ,89,123.1,2.28,2.91,280,0,54,11.41,2.25,25,28.41,2,19,33.84,8,1,20,4,16,36,0,24
2019-05-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,318,0,234,5.66,4.1,26,14.76,0.45,10,26.36,3,0,18.18,18.18,18.18,27.27,18.18,0
2019-08-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,300,0,226,6.36,4.73,26,20.7,1.21,12,33.36,3,2,15.38,23.08,11.54,42.31,7.69,0
2021-01-01,National,PARIS EST,METZ,87,123.1,2.28,2.91,251,2,38,18.39,2.72,26,44.79,5.21,15,69.27,8,6,26.92,11.54,11.54,23.08,15.38,11.54
2022-07-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,261,7,44,18.17,3.22,26,32.18,3.64,13,52.62,6,3,7.69,26.92,7.69,26.92,11.54,19.23
2018-08-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,313,4,50,13.3,2.08,27,25.46,2.11,18,2.11,5,3,12,8,8,56,12,4
2018-11-01,National,PARIS EST,METZ,85,123.1,2.28,2.91,309,2,40,9.36,1.01,28,17.4,1.46,13,1.46,5,0,34.62,3.85,19.23,23.08,19.23,0
2020-02-01,National,PARIS EST,METZ,84,123.1,2.28,2.91,303,4,240,8.96,6.99,28,19.58,1.87,12,33.58,6,1,14.29,10.71,32.14,28.57,14.29,0
2023-04-01,National,PARIS EST,METZ,88,123.1,2.28,2.91,278,0,37,15.4,2.05,29,27.96,1.01,17,40.59,11,3,20.69,10.34,17.24,31.03,13.79,6.9
